gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
ENSG00000167900	463.6970327066684	3.1122522944589215	0.20416529995754454	1.1381711291240359e-53	1.7653034212713795e-49	upregulated
ENSG00000171848	848.028228811473	3.713343043955423	0.2524265880163579	2.775710382681556e-50	2.1525634017695466e-46	upregulated
ENSG00000166851	185.8299427570159	3.772785220470218	0.2570003281210797	5.052564903968254e-50	2.6121760553515874e-46	upregulated
ENSG00000175063	141.78225285882635	3.45925068751281	0.24847060842844462	2.6376445875303844e-45	1.0227466888149065e-41	upregulated
ENSG00000145386	180.14011019396384	3.64084735444603	0.26515361599293774	3.909252755666356e-44	1.2126502048077035e-40	upregulated
ENSG00000111206	90.22473201070602	2.9818712416966795	0.2179145703009026	7.731838162461245e-44	1.998680164996232e-40	upregulated
ENSG00000165949	3924.850507470494	8.550506750838599	0.6258994074174159	1.0359158045427832e-43	2.1914415657063247e-40	upregulated
ENSG00000088325	225.8004877919205	3.062140267801749	0.22430274054617394	1.1303373646454286e-43	2.1914415657063247e-40	upregulated
ENSG00000178999	118.82759812767367	3.108790120979148	0.23103194100941163	1.5738620864116965e-42	2.7122889955828235e-39	upregulated
ENSG00000117399	227.9995481254343	3.547421347657454	0.26615697039169955	8.82738949286453e-42	1.3691281103432886e-38	upregulated
ENSG00000123485	86.74024627482258	3.1283766101184445	0.2384474843433147	1.5322519175232476e-40	2.160475203707779e-37	upregulated
ENSG00000127564	115.09823259471307	3.108810154200935	0.240653877125016	2.0461089571822996e-39	2.6445958271581223e-36	upregulated
ENSG00000148773	560.3976403171973	3.0556456425091083	0.23745225854194468	4.234712575607291e-39	5.052337849820699e-36	upregulated
ENSG00000211950	1310.84767153997	5.68770297323546	0.4430890650035972	5.378875102770121e-39	5.959025203140327e-36	upregulated
ENSG00000089685	234.69319771783228	3.7238377937367204	0.29077405728903677	8.370058089325018e-39	8.654640064362069e-36	upregulated
ENSG00000090889	52.93257083547675	3.4043558516809695	0.26573416360287155	9.78521876016131e-39	9.485546435631371e-36	upregulated
ENSG00000171241	195.11625906669414	3.1003162278913727	0.2426644283884184	1.2843943089031795e-38	1.1718209253581361e-35	upregulated
ENSG00000143476	139.69430100015057	3.0529536933052928	0.24195651582840869	9.48637604796597e-38	7.743878552839589e-35	upregulated
ENSG00000170476	1864.6532808712916	3.546154084076947	0.2811106964636867	9.247354831654704e-38	7.743878552839589e-35	upregulated
ENSG00000066279	83.98052212222613	2.865410893390832	0.22730792519004897	1.2718480690664742e-37	9.863181775610507e-35	upregulated
ENSG00000224373	1059.6279643592256	3.685441520881347	0.2929743514210847	1.4962853490130794e-37	1.1051136077710886e-34	upregulated
ENSG00000169679	232.17400322357452	3.0137780703388537	0.24304565489032498	1.449626372623115e-36	1.021986592699296e-33	upregulated
ENSG00000276043	227.5298664660977	2.7008141607451144	0.2188959418385504	3.2142791890386326e-36	2.1675421835647475e-33	upregulated
ENSG00000184357	67.26375827791337	3.1573263085380323	0.25973057672415056	3.2535160852794727e-35	2.1025847701118592e-32	upregulated
ENSG00000157456	147.51217682814686	3.3099844748453098	0.27776769199775403	5.4888492725920755e-34	3.4052820887161233e-31	upregulated
ENSG00000167513	96.4358787242481	2.6794793793643934	0.22509431665849933	6.55505111530212e-34	3.9103401076283032e-31	upregulated
ENSG00000211896	47300.98908219396	5.138355737315439	0.4342564884897314	1.4098398658994551e-33	8.098746785222426e-31	upregulated
ENSG00000112984	64.67682005801578	3.380532870518873	0.28760681208285316	4.2871643033490484e-33	2.2934903948638232e-30	upregulated
ENSG00000135476	65.63631353604791	2.719038726249161	0.23132331821538202	4.288279913027136e-33	2.2934903948638232e-30	upregulated
ENSG00000187837	419.0138746015347	1.7791348199876558	0.1523828114686381	1.1603319842500521e-32	5.9989163585727695e-30	upregulated
ENSG00000131747	371.1652073730015	3.059314733060484	0.26430678254013634	3.065118901933619e-32	1.5335481989996913e-29	upregulated
ENSG00000065328	96.20994238001822	3.3919081018333586	0.2940612543451892	5.384416607967559e-32	2.6097594246742765e-29	upregulated
ENSG00000101057	959.8296165215879	3.315228648121862	0.28811905094782864	6.611407522994061e-32	3.1073615358072086e-29	upregulated
ENSG00000131153	114.1908757073998	2.6994562889858984	0.23489152299205068	8.53836210062952e-32	3.8949998876695255e-29	upregulated
ENSG00000122952	294.2025148432771	2.2718319844592463	0.19864345467614775	1.6670105449644326e-31	7.387238157828101e-29	upregulated
ENSG00000211945	1013.1056461827881	3.542766988412914	0.31200793834240215	3.7874955690268346e-31	1.6317793409890612e-28	upregulated
ENSG00000075218	55.01533359237482	2.9976994445350402	0.26478095041150274	6.359229964846726e-31	2.665720452831695e-28	upregulated
ENSG00000115163	35.86770215811476	3.4859958383491145	0.3079877943644206	7.44459410892348e-31	3.0385698586685047e-28	upregulated
ENSG00000184661	66.15857050305495	3.2669704454049655	0.2912538607196494	2.0027465792889327e-30	7.964769088402909e-28	upregulated
ENSG00000146670	106.53068661784908	2.7587617163375495	0.24622892446890032	2.2862048336501287e-30	8.864759242478374e-28	upregulated
ENSG00000092853	88.49287503688731	2.5396793975193406	0.2270669430470947	2.818951612938836e-30	1.0663887686995451e-27	upregulated
ENSG00000138180	69.57904239992794	3.344593212619552	0.2991550767501029	3.182013616472973e-30	1.1750721712260907e-27	upregulated
ENSG00000126787	94.34401638279432	3.686525937045351	0.33007516974327433	3.5085568553377066e-30	1.2655282982857636e-27	upregulated
ENSG00000109805	89.61039347957114	3.107592963845192	0.2787276392329328	4.138956503375719e-30	1.458982167439941e-27	upregulated
ENSG00000156970	70.40442251852478	2.681712666519338	0.24328615534735226	1.6825964147895408e-29	5.799348976307951e-27	upregulated
ENSG00000211962	1000.4414532814252	3.4090516359157563	0.3095624241742535	1.8754290227882715e-29	6.3234574224882805e-27	upregulated
ENSG00000142945	103.751838526438	2.795536117179117	0.2552969090409235	3.764756593297541e-29	1.2423696757881885e-26	upregulated
ENSG00000135451	60.43450136552118	3.3017823798497976	0.30201709714293506	4.6001594240789925e-29	1.4864265139055245e-26	upregulated
ENSG00000093009	106.90321465574732	2.9142240414150105	0.2673812126534295	6.833410371776949e-29	2.1629835686991932e-26	upregulated
ENSG00000183010	81.73438152750525	3.0604972606881407	0.28158304929826705	9.377017220702312e-29	2.908750741861857e-26	upregulated
ENSG00000072571	45.68268255126366	2.8144525382470866	0.25874115353960997	9.610899871915644e-29	2.922844255164934e-26	upregulated
ENSG00000094804	109.91580694447305	2.8250298685822046	0.26087524315816785	1.4170743114588523e-28	4.226696648216692e-26	upregulated
ENSG00000237649	75.56098845827783	2.591562521882121	0.23962489253095337	1.7010759180173702e-28	4.978054243103662e-26	upregulated
ENSG00000129538	311.55495712288507	4.9613604302032055	0.45924500132087975	1.738864492050915e-28	4.994405235501795e-26	upregulated
ENSG00000099958	138.17220429009305	2.6042851705552037	0.2413472076233556	2.1594627785886996e-28	6.089685035620133e-26	upregulated
ENSG00000211592	40854.46466097919	3.0238473710018328	0.2815143824235773	3.8991211138246048e-28	1.0722263152153936e-25	upregulated
ENSG00000176890	70.93840637745431	2.8533706968378953	0.2657083783193152	3.940483556884425e-28	1.0722263152153936e-25	upregulated
ENSG00000211956	3053.930230164491	4.1311233854071325	0.38545825641532544	4.282059878918691e-28	1.1450818745177396e-25	upregulated
ENSG00000085999	36.80991141509388	2.7557555057268286	0.25672478114777825	4.498635744619475e-28	1.1826074643906452e-25	upregulated
